Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
Sean Reyes,UT,Statewide,,Attorney General,Attorney General,,Exec,,R,Incumbent,Yes,,,,Won,11/3/2020,Won,60.90%,M,,,,
Ronnie Chatterji,NC,Statewide,Treasurer,North Carolina Treasurer,Treasurer,,Exec,,D,Challenger,Yes,Dale Folwell,R,3/3/2020,Won,11/3/2020,Lost,47.40%,M,Indian,https://www.ronniechatterji.com/,,2020
Nina Ahmad,PA,Statewide,State of Pennsylvania,,Auditor General,,,,D,Open Seat,No, Eugene DePasquale,D,4/28/2020,Won,11/3/2020,Lost,46.10%,F,Bangladeshi,https://www.ninaforpa.com/,,2020
Dimple Ajmera,NC,Statewide,,,North Carolina State Treasurer,,,,D,Challenger,Yes,Dale Folwell,R,3/3/2020,Lost,11/3/2020,Not in General,,F,Indian,https://www.dimpleajmera.com/,,2020
Fatima Iqbal-Zubair,CA,State,State Assembly,California State Assembly,Assemblymember,District 64,Legis,Lower,,,,,,,n/a,11/3/2020,Lost,,F,,,,
Aboul Khan,NH,State,State House,New Hampshire State House,State Representative,Rockingham 20,Legis,,R,,,,,,Won,11/3/2020,Won,21.60%,M,,,,
Adrian Tam,HI,State,State House,Hawaii House of Representatives ,State Representative,District 22,Legis,,D,Challenger,No,,,,Won,11/3/2020,Won,67.90%,M,,,,
Al Muratsuchi,CA,State,California State Assembly,State House,Assemblymember,HD-66,Legis,Lower,D,Incumbent,Yes,Al Muratsuchi,D,3/3/2020,Won,11/3/2020,Won,63.70%,M,,http://www.alforassembly.com/,,2020
Alex Lee,CA,State,California State Assembly,California State Assembly,Assemblymember,AD-25,Legis,Lower,D,Open Seat,No,Kansen Chu,D,3/3/2020,Won,11/3/2020,Won,73.10%,M,Chinese,http://www.votealexlee.com/,,2020
Amish Shah ,AZ,State,Arizona House of Representatives,State House,State Representative,HD-24,Legis,Lower,D,Incumbent,Yes,Amish Shah,D,8/4/2020,Won,11/3/2020,Won,36.70%,M,Indian,https://www.amishforarizona.com/,,2020
Ash Kalra,CA,State,California State Assembly,State House,Assemblymember,HD-27,Legis,Lower,D,Incumbent,Yes,Ash Kalra,D,3/3/2020,Won,11/3/2020,Won,74.50%,M,,http://www.ashkalra.com/,,2020
Ben Ming,NH,State,State House,New Hampshire State House,State Representative,Hillsborough 40,Legis,,D,,,,,,Won,11/3/2020,Won,99.90%,M,,,,
Bert Kobayashi,HI,State,State House,Hawaii House of Representatives ,State Representative,District 19,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,76.70%,M,,,,
Bob Hasegawa,WA,State,State Senate,Washington State Senate,State Senator,District 11,Legis,,D,Incumbent,Yes,Bob Hasegawa,D,8/4/2020,Won,11/3/2020,Won,100.00%,M,,,,
Brian Taniguchi,HI,State,State Senate,Hawaii State Senate,State Senator,District 11,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,,,,
Cedric Asuega Gates,HI,State,State House,Hawaii House of Representatives,State Representative,HD-44,Legis,Lower,D,Incumbent,Yes,Cedric Asuega Gates,D,8/8/2020,Won,11/3/2020,Won,62.10%,M,Hawaiian,http://www.capitol.hawaii.gov/memberpage.aspx?member=gates,,2020
Chris Lee,HI,State,State Senate,Hawaii State Senate,State Senator,District 51,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,65.00%,M,,,,
Dale Kobayashi,HI,State,State House,Hawaii House of Representatives,Representative,District 23,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,100.00%,M,Japanese,,,
Daniel Holt,HI,State,State House,Hawaii House of Representatives,State Representative,HD-29,Legis,Lower,D,Incumbent,Yes,Daniel Holt,D,8/8/2020,Won,11/3/2020,Won,65.20%,M,Hawaiian,https://www.capitol.hawaii.gov/memberpage.aspx?member=holt,,2020
Dave Min,CA,State,State Senate,California State Senate ,State Senator ,CA-37,Legis,Upper,D,Challenger,Yes,John M. W. Moorlach,R,3/3/2020,Won,11/3/2020,Won,51.20%,M,Korean,https://davemin.com/,,2020
David Chiu,CA,State,California State Assembly,State House,Assemblymember,HD-17,Legis,Lower,D,Incumbent,Yes,David Chiu,D,3/3/2020,Won,11/3/2020,Won,89.90%,M,,http://www.votedavidchiu.com/,,2020
Donald Wong,MA,State,State House,Massachusetts State House,State Representative,9th Essex District,Legis,,R,Incumbent,,,,,Won,11/3/2020,Won,100.00%,M,,,,
Edwin Chau,CA,State,California State Assembly,California State Assembly,Assemblymember,AD-49,Legis,Lower,D,Incumbent,Yes,Edwin Chau,D,3/3/2020,Won,11/3/2020,Won,68.10%,M,Chinese,https://edchau.com/,,2020
Evan Low,CA,State,California State Assembly,State House,Assemblymember,HD-28,Legis,Lower,D,Incumbent,Yes,Evan Low,D,3/3/2020,Won,11/3/2020,Won,74.40%,M,,http://evanlowforassembly.com/,,2020
Foung Hawj,MN,State,State Senate,Minnesota State Senate,State Senator,District 67,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,73.90%,M,Laotian,,,
Fue Lee,MN,State,State House,Minnesota House of Representatives,State Representative,HD-59A,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,75.00%,M,Taiwanese,,,
Gilbert Keith-Agaran,HI,State,State Senate,Hawaii State Senate,State Senator,District 5,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,64.30%,M,,,,
Glenn Wakai,HI,State,State Senate,Hawaii State Senate,State Senator,District 15,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,Japanese,,,
Gregg Takayama,HI,State,State House,Hawaii House of Representatives,State Representative,District 34,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,63.40%,M,,,,
Greggor Ilagan,HI,State,State House,Hawaii House of Representatives,Representative,District 4,Legis,,D,Open Seat,,,,,Won,11/3/2020,Won,70.10%,M,,,,
Hao Wu,SC,State,State Senate,South Carolina State Senate,State Senator,District 6,Legis,,D,Challenger,Yes,Dwight Loftis,R,,Won,11/3/2020,Lost,34.80%,M,Chinese,haotoserve.com,,
Henry Aquino,HI,State,State House,Hawaii State House,State Representative,District 38,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,,,,
James Tokioka,HI,State,State House,Hawaii House of Representatives,State Representative,District 15,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,72.80%,M,,,,
Jay Chaudhuri,NC,State,State Senate,North Carolina State Senate,State Senator,District 15,Legis,Upper,D,Incumbent,Yes,Jay Chaudhuri,D,,Won,11/3/2020,Won,58.10%,M,Indian,https://www.jayfornc.com/,,2020
Jay Xiong,MN,State,State House,Minnesota House of Representatives,State Representative,HD-67B,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,75.70%,M,Hmong,,,
Jeremy Cooney,NY,State,State Senate,New York State Senate,State Senator,SD-56,Legis,Upper,D,Challenger,Yes,Joseph Robach,R,6/23/2020,Won,11/3/2020,Won,50.50%,M,,https://jeremycooney.com/2020onward,,2020
