Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
Jason Morimoto,CA,Local,School District,Las Lomitas Elementary School District Board,Board member,,Legis,,N,?,,,,,n/a,11/3/2020,Won,,M,Japanese,,,
Kevin Hayakawa,CA,Local,City Council,Walnut Valley Water District Board of Directors,Board member,Division 4,,,,,,,,,n/a,11/3/2020,Won,,M,Japanese,,,
Lan Diep,CA,Local,City Council,San Jose City Council,Councilmember,District 4,Legis,,D,Incumbent,,,,,n/a,11/3/2020,Lost,,M,Vietnamese,,,
Mike Chang,CA,Local,School District,Berkeley Unified School District Board,Board Member,,,,,Open Seat,,,,,n/a,11/3/2020,Lost,,M,Taiwanese,https://runwithmikechang.com/,,
Mony Nop,OR,Local,City Council,Livermore City Council,Mayor,,Exec,,,,,,,,n/a,11/3/2020,Lost,,M,Cambodian,https://monyformayor.com/,,2020
Pranav Nanda,DC,Local,,Advisory Neighborhood Commission,ANC Representative,6C04,Legis,,N,Challenger,?,,,,n/a,11/3/2020,Lost,,M,Indian,,,
Sanjay Dave,CA,Local,Board of Education,Mountain View Los Altos Union High School Board,Board Member,,Legis,,,Challenger,Yes,"Phil Faillace, Sanjay Dave",,,n/a,11/3/2020,Won,,M,Indian,http://www.sanjay4mvla.com/,,2020
Sridhar Verose,CA,Local,City Council,San Ramon City Council,Councilmember,District 3,Legis,,,,,,,,n/a,11/3/2020,Won,46.00%,M,,,,
Aliya Chisti,CA,Local,City College Board,City College of San Francisco,Trustee,,Legis,,N,,,,,,n/a,11/3/2020,,,F,,,,
Aparna Madireddi,CA,Local,City Council,San Ramon City Council,Mayor,,Legis,,,,No,Bill Clarkson,,,n/a,11/3/2020,,,F,Indian,https://www.aparnaforsanramon.com/,,
Connie Chan,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,?,?,,,,n/a,11/3/2020,,,F,,,,
Grace Mah,CA,Local,Board of Education,Santa Clara County Board of Education,Board Member,Trustee Area 1,Legis,,,Incumbent,Yes,Grace Mah,,,n/a,11/3/2020,,,F,,https://www.gracemah2020.org/,,2020
Jane Chen Lombard,CA,Local,Healthcare District Director,El Camino Healthcare District,Director,,Legis,,,Challenger,Yes,"John Zoglin, Julia E. Miller",,,n/a,11/3/2020,,,F,Chinese,https://www.lombard4communityhealth.com/,,2020
Jeanette Quick,CA,Local,City College Board,City College of San Francisco,Trustee,,,,,,,,,,n/a,11/3/2020,,,F,,https://votejeanette.com/,Alum of Summer Leadership Academy,2020
Marjan Philhour,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,?,?,,,,n/a,11/3/2020,,,F,,,,
Rachel Hernandez,CA,Local,City Council,Riverbank City Council,Councilmember,District 2,Legis,,,,,,,,n/a,11/3/2020,,,F,Vietnamese,https://riverbanknow.com/,,2020
Sabina Zafar,CA,Local,City Council,San Ramon City Council,Mayor,,Legis,,,,No,Bill Clarkson,,,n/a,11/3/2020,,,F,Pakistani,https://www.sabinazafar.org/,,
Sharmin Shahjahan,IL,Local,Board of Trustees,Hanover Park Board of Trustees,Trustee,Hanover Park,Legis,,,Incumbent,Yes,Sharmin Shahjahan,,,n/a,11/3/2020,,,F,Bangladeshi,https://www.facebook.com/sharminkshahjahan/,,2021
Sherry Hu,CA,Local,City Council,Dublin City Council,Councilmember,,Legis,,,,,,,,n/a,11/3/2020,,,F,,https://www.sherryhu.com/meetdrsherry,,
Veronica Shinzato,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,?,?,,,,n/a,11/3/2020,,,F,,,,
Allister Chang,DC,Local,School District,DC School Board,Board member,Ward 2,Legis,,,,,,,,n/a,11/3/2020,Won,,M,Taiwanese,,,
Gilbert Wong,CA,Local,Board of Education,Foothill-De Anza Community College District Board of Trustees,Board Member,,Legis,,,Incumbent,Yes,"Peter Landsberger, Laura Casas, Gilbert Wong",,,n/a,11/3/2020,Won,,M,Chinese,https://gilbertswong.com/,,2020
YK Chalamcherla,CA,Local,County Council,Folsom City Council,Councilmember,,Legis,,,,,,,,n/a,11/3/2020,Won,,M,Indian,http://electyk.com/,,2020
Farrah Khan,CA,Local,City Council,Irvine City Council,Mayor,,Exec,,N,Challenger,Yes,Christina Shea,N,,n/a,11/3/2020,Won,,F,Pakistani,,,
Tammy Kim,CA,Local,City Council,Irvine City Council,Councilmember,At-Large,Legis,,,Open Seat,,,,,n/a,11/3/2020,Won,14.80%,F,Korean,https://www.tammykim.com/,,2020
Ross Chun,CA,Local,City Council,Aliso Viejo City Council,Councilmember,,Legis,,N,?,?,,,,n/a,11/3/2020,Lost,,M,,,,
Gayatri Agnew,AR,Local,City Council,Bentonville City Council,Councilmember,Ward 1,Legis,,,Challenger,No,Chad Goss,,,n/a,11/3/2020,Lost,,F,,,,2020
Sarah Mehrotra,DC,Local,Board of Education,D.C. Board of Education,Board Member,Ward 2,,,N,Open Seat,No,Jack Jacobson,N,,n/a,11/3/2020,Lost,,F,Indian,,,
Mai Vang,CA,Local,City Council,Sacramento City Council,Councilmember,District 8,Legis,,,Open Seat,No,Larry Carr,,3/3/2020,Won,11/3/2020,Won,52.10%,F,Hmong,https://maivang.org/,,2020
Kevin Park,CA,Local,City Council,Santa Clara City Council,Councilmember,District 4,,,,Open Seat,,,,,,,Won,,M,,,,
Suds Jain,CA,Local,City Council,Santa Clara City Council,Councilmember,District 5,,,,Open Seat,,,,,,,Won,,M,,,,
Hung Wei,CA,Local,City Council,Cupertino City Council,Councilmember,At-Large,Legis,,,Open Seat,,,,,,11/3/2020,Won,25.70%,F,,hungwei.org,,2020
Anders Fung,CA,Local,City Council,Millbrae City Council,Council Member,At-Large,Legis,,,?,?,,,,n/a,11/3/2020,Won,19.00%,M,Chinese,https://andersfung.org/,,2020
Linda Lee,NY,Local,City Council,NYC Council,Councilmember,NY-23,City Council,Lower,D,Challenger,?,Barry Grodenchik,,6/22/2021,,11/2/2021,Not in General,,F,Korean,https://lindaleefornyc.com/meetlinda,,
